age,gender,education,occupation,organization_type,seniority,annual_income,disposable_income,house_type,vehicle_type,marital_status,no_card,default
26,Female,Graduate,Student,None,None,63362,19780,Rented,None,Married,0,1
22,Female,Post Graduate,Professional,None,None,54005,8829,Rented,Two Wheeler,Married,0,1
20,Male,Other,Salaried,None,Entry,180835,17017,Rented,None,Married,0,1
25,Male,Post Graduate,Professional,None,None,350326,26928,Family,None,Single,0,1
22,Male,Graduate,Business,None,None,123136,17336,Rented,Two Wheeler,Married,1,1
27,Male,Under Graduate,Professional,None,None,308192,4614,Rented,Two Wheeler,Single,1,1
29,Male,Under Graduate,Salaried,None,Junior,251249,9109,Rented,Two Wheeler,Single,0,1
29,Male,Post Graduate,Salaried,None,Junior,431565,20073,Family,None,Married,0,1
27,Male,Graduate,Student,None,None,244892,12492,Rented,None,Married,0,1
28,Male,Other,Salaried,Tier 3,Entry,289593,47340,Family,None,Married,0,1
27,Female,Graduate,Salaried,Tier 3,Mid-level 1,168333,32974,Rented,None,Married,1,1
22,Female,Graduate,Professional,None,None,405522,6822,Family,None,Married,0,1
21,Male,Under Graduate,Salaried,None,Junior,53632,13530,Rented,Two Wheeler,Married,0,1
20,Male,Under Graduate,Business,None,None,303800,22139,Rented,Two Wheeler,Married,0,1
21,Male,Under Graduate,Student,None,None,382877,6738,Rented,None,Single,0,1
18,Male,Under Graduate,Professional,None,None,485643,27283,Family,None,Married,0,1
28,Female,Under Graduate,Student,None,None,67516,8087,Rented,None,Married,1,1
18,Male,Graduate,Salaried,Tier 3,Mid-level 1,53728,12419,Rented,None,Single,0,1
21,Male,Graduate,Salaried,None,Junior,222856,42117,Rented,None,Single,1,1
29,Male,Graduate,Salaried,None,Junior,220647,18474,Family,None,Single,0,1
18,Female,Other,Salaried,Tier 3,Mid-level 1,131789,17876,Rented,None,Single,0,1
23,Female,Graduate,Salaried,Tier 3,Mid-level 1,370753,11366,Rented,Two Wheeler,Married,0,1
23,Male,Graduate,Salaried,None,Mid-level 1,485272,11201,Rented,None,Married,0,1
22,Male,Graduate,Professional,None,None,293132,22095,Rented,Two Wheeler,Married,0,1
29,Male,Under Graduate,Business,None,None,358328,39821,Family,None,Single,0,1
19,Male,Under Graduate,Salaried,None,Entry,353856,13340,Family,Two Wheeler,Married,0,1
21,Male,Under Graduate,Business,None,None,155149,23250,Rented,None,Married,0,1
18,Male,Under Graduate,Business,None,None,359951,19622,Rented,None,Married,1,1
28,Male,Post Graduate,Salaried,Tier 3,Junior,88868,12693,Family,None,Married,1,1
20,Male,Under Graduate,Business,None,None,124511,16988,Rented,None,Other,0,1
26,Male,Under Graduate,Business,None,None,179343,3299,Rented,None,Single,0,1
28,Male,Other,Business,None,None,294337,16302,Rented,Two Wheeler,Married,0,1
21,Male,Graduate,Business,None,None,198749,24655,Rented,None,Single,0,1
27,Male,Graduate,Professional,None,None,306608,7146,Rented,None,Married,1,1
23,Male,Post Graduate,Business,None,None,128269,30511,Family,None,Other,1,1
30,Male,Post Graduate,Salaried,Tier 3,Entry,446129,32318,Rented,None,Single,0,1
24,Female,Post Graduate,Student,None,None,363288,34058,Rented,Two Wheeler,Single,1,1
27,Male,Post Graduate,Professional,None,None,209442,14089,Rented,None,Single,0,1
18,Male,Graduate,Student,None,None,226777,21628,Rented,None,Single,0,1
22,Male,Graduate,Salaried,None,Junior,304994,17392,Rented,None,Single,1,1
22,Female,Graduate,Salaried,Tier 3,Junior,484658,24905,Family,None,Married,0,1
25,Female,Post Graduate,Salaried,None,Mid-level 1,142423,7006,Family,None,Single,0,1
25,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,309667,49217,Rented,None,Single,1,1
27,Male,Post Graduate,Professional,None,None,156657,14795,Rented,None,Single,1,1
28,Male,Graduate,Professional,None,None,462854,19178,Family,None,Other,0,1
28,Female,Under Graduate,Salaried,None,Mid-level 1,115021,8474,Rented,None,Single,0,1
21,Male,Graduate,Salaried,Tier 3,Entry,99467,14976,Company provided,None,Married,1,1
29,Female,Graduate,Professional,None,None,175866,34217,Family,Two Wheeler,Single,1,1
27,Male,Graduate,Salaried,None,Mid-level 1,390588,8286,Family,Two Wheeler,Married,0,1
28,Male,Post Graduate,Salaried,None,Junior,395883,22751,Rented,None,Single,0,1
19,Male,Graduate,Professional,None,None,385980,24264,Rented,None,Single,1,1
22,Male,Under Graduate,Professional,None,None,470525,8339,Family,None,Married,1,1
21,Male,Under Graduate,Salaried,None,Junior,103576,19828,Rented,None,Single,0,1
29,Male,Under Graduate,Business,None,None,250075,2252,Family,None,Married,0,1
18,Male,Other,Professional,None,None,453647,23450,Rented,Two Wheeler,Married,0,1
30,Female,Post Graduate,Professional,None,None,610289,37961,Family,None,Single,0,1
29,Male,Graduate,Salaried,None,Entry,281133,4251,Rented,None,Married,1,1
24,Male,Graduate,Salaried,Tier 3,Junior,231732,19706,Family,None,Other,0,1
24,Male,Under Graduate,Salaried,None,Junior,195692,2047,Rented,None,Married,0,1
25,Male,Under Graduate,Professional,None,None,363238,19190,Family,None,Single,2,1
28,Male,Under Graduate,Salaried,None,Mid-level 1,62735,5580,Rented,None,Single,0,1
25,Male,Other,Salaried,None,Mid-level 1,393027,22655,Family,Two Wheeler,Married,0,1
19,Male,Under Graduate,Business,None,None,107399,14469,Rented,Two Wheeler,Married,1,1
26,Male,Graduate,Salaried,Tier 3,Junior,281376,18773,Rented,None,Married,1,1
26,Male,Graduate,Salaried,None,Entry,237073,41928,Rented,Two Wheeler,Single,1,1
27,Male,Other,Professional,None,None,208886,13379,Family,None,Single,0,1
22,Male,Under Graduate,Salaried,None,Junior,202699,22469,Rented,None,Single,0,1
25,Male,Graduate,Business,None,None,418179,11087,Rented,None,Married,0,1
20,Female,Under Graduate,Salaried,None,Mid-level 1,438633,2625,Family,None,Single,1,1
18,Female,Graduate,Professional,None,None,386045,28421,Family,None,Married,0,1
24,Male,Post Graduate,Salaried,Tier 2,Mid-level 1,128191,14681,Rented,None,Single,1,1
24,Male,Graduate,Business,None,None,113804,18559,Family,None,Single,1,1
27,Male,Under Graduate,Professional,None,None,113743,6414,Family,None,Other,0,1
30,Male,Under Graduate,Business,None,None,434397,19254,Rented,None,Other,1,1
25,Male,Under Graduate,Business,None,None,198973,25194,Family,Two Wheeler,Single,1,1
21,Male,Post Graduate,Salaried,None,Junior,236757,43511,Rented,None,Married,0,1
21,Male,Graduate,Salaried,Tier 3,Junior,398800,13539,Family,None,Married,0,1
28,Female,Graduate,Business,None,None,432007,13188,Rented,None,Single,0,1
19,Male,Graduate,Salaried,Tier 3,Mid-level 1,231389,18955,Family,None,Married,0,1
25,Male,Graduate,Professional,None,None,357068,19907,Rented,None,Married,1,1
29,Male,Under Graduate,Salaried,None,Junior,329021,13848,Rented,None,Married,1,1
20,Male,Graduate,Professional,None,None,125949,33719,Rented,None,Married,1,1
29,Male,Graduate,Salaried,Tier 3,Junior,202474,1410,Rented,Two Wheeler,Single,1,1
22,Male,Post Graduate,Salaried,None,Junior,170942,8232,Rented,None,Single,0,1
22,Male,Graduate,Business,None,None,293030,6679,Rented,None,Single,0,1
19,Male,Other,Salaried,None,Mid-level 1,192983,16561,Rented,None,Married,0,1
22,Male,Graduate,Salaried,Tier 3,Entry,448516,15782,Family,None,Married,2,1
25,Male,Under Graduate,Salaried,Tier 3,Junior,332101,17672,Rented,Two Wheeler,Married,1,1
24,Male,Under Graduate,Student,None,None,62430,3822,Rented,None,Married,1,1
18,Male,Under Graduate,Professional,None,None,728141,45389,Family,None,Married,0,1
18,Male,Other,Business,None,None,483542,31662,Rented,None,Married,2,1
19,Male,Under Graduate,Salaried,Tier 3,Entry,194891,42531,Rented,None,Single,1,1
19,Female,Under Graduate,Business,None,None,110453,2637,Rented,None,Married,1,1
26,Male,Graduate,Business,None,None,213438,17612,Family,None,Single,0,1
21,Male,Post Graduate,Professional,None,None,292082,14440,Family,None,Married,1,1
27,Male,Graduate,Business,None,None,242325,48162,Rented,None,Single,1,1
29,Male,Post Graduate,Salaried,None,Mid-level 1,72566,4075,Family,None,Married,1,1
29,Male,Post Graduate,Business,None,None,288452,9310,Rented,None,Single,0,1
26,Male,Graduate,Professional,None,None,222591,24362,Rented,None,Married,0,1
24,Male,Other,Salaried,Tier 3,Junior,396796,2946,Rented,Two Wheeler,Single,1,1
19,Female,Other,Salaried,Tier 3,Junior,187236,23545,Family,None,Married,1,1
22,Male,Other,Salaried,Tier 3,Junior,291272,2828,Family,Two Wheeler,Married,0,1
28,Male,Other,Salaried,None,Junior,235035,3969,Family,None,Single,1,1
26,Male,Under Graduate,Professional,None,None,275445,5003,Rented,None,Single,0,1
22,Male,Graduate,Student,None,None,409145,30177,Rented,Two Wheeler,Single,1,1
20,Male,Post Graduate,Professional,None,None,123303,6262,Rented,Two Wheeler,Single,2,1
24,Male,Under Graduate,Business,None,None,375155,24253,Family,Two Wheeler,Single,1,1
21,Male,Graduate,Salaried,Tier 3,Mid-level 1,105537,10253,Rented,Two Wheeler,Married,0,1
23,Female,Post Graduate,Salaried,Tier 3,Entry,368823,5245,Family,None,Other,0,1
24,Female,Graduate,Salaried,Tier 3,Junior,242928,1998,Rented,None,Single,2,1
28,Female,Other,Business,None,None,382107,41566,Family,None,Married,0,1
25,Female,Graduate,Business,None,None,116318,12741,Rented,Two Wheeler,Single,0,1
22,Male,Under Graduate,Student,None,None,145791,8091,Family,Two Wheeler,Married,0,1
18,Male,Post Graduate,Salaried,None,Mid-level 1,141407,9136,Family,None,Married,1,1
22,Female,Other,Salaried,None,Junior,528562,43168,Rented,None,Married,1,1
18,Male,Post Graduate,Professional,None,None,276858,3967,Rented,None,Single,1,1
18,Male,Post Graduate,Professional,None,None,335048,9248,Family,None,Married,1,1
27,Male,Post Graduate,Business,None,None,90235,9623,Family,None,Married,1,1
24,Male,Post Graduate,Student,None,None,55885,27181,Family,None,Single,2,1
26,Male,Under Graduate,Business,None,None,214345,2014,Rented,None,Married,0,1
26,Male,Under Graduate,Salaried,Tier 3,Mid-level 1,133236,9140,Family,None,Single,0,1
21,Male,Graduate,Salaried,None,Junior,402106,34509,Family,Two Wheeler,Single,0,1
22,Male,Other,Salaried,Tier 3,Entry,476850,31353,Family,Two Wheeler,Married,0,1
26,Male,Graduate,Business,None,None,362210,12297,Family,None,Married,0,1
18,Male,Post Graduate,Salaried,None,Entry,63724,13895,Rented,Two Wheeler,Married,0,1
22,Male,Other,Salaried,None,Junior,226994,24252,Family,None,Single,0,1
29,Male,Other,Student,None,None,144871,27602,Rented,None,Single,1,1
28,Male,Graduate,Business,None,None,220830,6007,Family,Two Wheeler,Married,1,1
28,Male,Graduate,Salaried,None,Junior,210742,3265,Rented,None,Married,0,1
23,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,130092,9208,Rented,Two Wheeler,Married,1,1
28,Female,Post Graduate,Salaried,None,Junior,356034,19768,Rented,None,Single,0,1
21,Male,Under Graduate,Business,None,None,470005,4665,Family,None,Single,1,1
19,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,100615,30656,Family,Two Wheeler,Single,0,1
19,Male,Other,Salaried,None,Mid-level 1,58585,11108,Rented,None,Single,1,1
18,Female,Other,Salaried,None,Junior,134111,20466,Rented,None,Married,0,1
29,Male,Under Graduate,Professional,None,None,258861,2559,Rented,Two Wheeler,Other,1,1
23,Female,Graduate,Salaried,Tier 3,Entry,403931,16965,Rented,Two Wheeler,Married,0,1
27,Female,Other,Student,None,None,282943,13869,Family,None,Single,1,1
25,Male,Under Graduate,Business,None,None,342036,21510,Family,None,Single,1,1
23,Male,Other,Salaried,Tier 3,Entry,457806,9516,Rented,None,Married,0,1
22,Female,Other,Salaried,Tier 3,Junior,219297,24349,Family,None,Other,0,1
25,Male,Under Graduate,Salaried,None,Junior,246544,12000,Rented,Two Wheeler,Single,1,1
25,Male,Post Graduate,Business,None,None,214515,34219,Rented,None,Married,0,1
25,Male,Other,Salaried,None,Entry,225146,15528,Family,None,Married,1,1
20,Male,Other,Professional,None,None,173800,21982,Rented,None,Married,0,1
19,Male,Other,Business,None,None,843743,48725,Family,None,Married,2,1
23,Male,Other,Professional,None,None,107912,38372,Rented,Two Wheeler,Married,1,1
20,Male,Post Graduate,Business,None,None,117723,19923,Rented,None,Single,0,1
21,Male,Graduate,Business,None,None,321068,19373,Family,None,Single,0,1
18,Male,Other,Salaried,None,Junior,421581,15676,Rented,None,Single,1,1
25,Female,Other,Salaried,None,Mid-level 1,87417,29350,Rented,None,Single,2,1
26,Male,Post Graduate,Salaried,None,Entry,427097,2163,Family,None,Single,0,1
27,Male,Under Graduate,Salaried,Tier 3,Mid-level 1,60355,4389,Rented,None,Married,0,1
22,Male,Under Graduate,Salaried,None,Entry,535534,34015,Rented,None,Single,0,1
21,Male,Graduate,Professional,None,None,189983,12948,Rented,None,Married,0,1
18,Male,Post Graduate,Professional,None,None,138162,43551,Rented,None,Married,0,1
24,Male,Graduate,Student,None,None,426292,15887,Rented,None,Married,0,1
26,Male,Other,Business,None,None,73391,48161,Family,Two Wheeler,Married,0,1
30,Male,Graduate,Business,None,None,95390,41732,Family,None,Married,0,1
25,Male,Under Graduate,Professional,None,None,498847,26343,Family,None,Married,0,1
22,Female,Post Graduate,Professional,None,None,483747,20537,Family,Two Wheeler,Single,1,1
25,Male,Under Graduate,Salaried,None,Mid-level 1,137168,7309,Family,Two Wheeler,Married,0,1
23,Male,Under Graduate,Salaried,None,Entry,154461,2404,Rented,None,Single,0,1
18,Male,Other,Salaried,Tier 3,Junior,279124,48480,Rented,None,Single,1,1
24,Male,Post Graduate,Salaried,Tier 3,Entry,744326,48135,Rented,Two Wheeler,Single,0,1
23,Male,Under Graduate,Salaried,None,Junior,96571,11542,Rented,None,Other,0,1
22,Male,Other,Business,None,None,379628,6028,Rented,None,Single,1,1
24,Female,Graduate,Salaried,None,Junior,68849,49620,Family,Two Wheeler,Married,1,1
18,Male,Other,Professional,None,None,342893,19900,Rented,None,Single,1,1
21,Male,Other,Salaried,None,Junior,356556,15889,Family,None,Single,0,1
23,Male,Under Graduate,Salaried,None,Junior,230654,14409,Rented,None,Married,1,1
23,Male,Other,Professional,None,None,51395,19507,Rented,None,Single,2,1
24,Female,Post Graduate,Salaried,None,Entry,144710,6160,Rented,Two Wheeler,Single,2,1
29,Male,Under Graduate,Business,None,None,242247,21621,Family,None,Married,1,1
21,Male,Other,Salaried,None,Entry,426777,15590,Rented,None,Married,2,1
24,Male,Graduate,Salaried,None,Junior,499654,13033,Rented,None,Married,0,1
18,Female,Under Graduate,Salaried,None,Junior,281025,2159,Family,None,Single,0,1
28,Male,Under Graduate,Salaried,None,Junior,451834,7017,Rented,Two Wheeler,Married,1,1
20,Female,Graduate,Salaried,Tier 3,Junior,297007,46261,Family,None,Married,0,1
22,Male,Graduate,Student,None,None,308111,14086,Rented,Two Wheeler,Single,1,1
26,Male,Under Graduate,Business,None,None,268108,22703,Rented,None,Married,0,1
21,Male,Graduate,Salaried,None,Entry,283461,11048,Family,None,Married,0,1
23,Male,Graduate,Salaried,None,Junior,375807,18653,Family,None,Single,1,1
26,Male,Graduate,Salaried,None,Junior,307849,35753,Family,Two Wheeler,Single,0,1
22,Male,Under Graduate,Salaried,None,Junior,158579,3909,Family,None,Single,0,1
23,Male,Graduate,Business,None,None,442312,2849,Rented,Two Wheeler,Single,0,1
19,Male,Graduate,Business,None,None,299790,21049,Rented,None,Married,1,1
19,Male,Graduate,Business,None,None,213414,20153,Rented,None,Other,0,1
29,Male,Under Graduate,Salaried,Tier 2,Junior,178726,7484,Rented,None,Single,0,1
28,Male,Other,Salaried,None,Junior,368318,20840,Family,Two Wheeler,Single,1,1
24,Male,Under Graduate,Professional,None,None,192776,11296,Family,None,Single,1,1
18,Male,Under Graduate,Business,None,None,175983,13022,Family,None,Single,2,1
24,Male,Post Graduate,Business,None,None,90149,11154,Family,None,Married,2,1
25,Male,Other,Salaried,None,Entry,101078,17976,Rented,Two Wheeler,Married,0,1
27,Female,Other,Salaried,Tier 3,Junior,149848,40216,Family,None,Married,1,1
25,Male,Other,Business,None,None,250286,3666,Rented,None,Single,1,1
29,Male,Post Graduate,Salaried,None,Mid-level 1,567363,33057,Rented,Two Wheeler,Single,1,1
29,Male,Under Graduate,Business,None,None,177934,15058,Rented,Two Wheeler,Single,0,1
20,Male,Post Graduate,Salaried,Tier 3,Junior,302362,33940,Rented,None,Single,0,1
24,Male,Other,Salaried,Tier 3,Mid-level 1,275303,10079,Rented,None,Other,0,1
23,Female,Post Graduate,Salaried,None,Mid-level 1,130409,33933,Rented,None,Single,2,1
29,Male,Under Graduate,Salaried,None,Mid-level 1,294030,10534,Rented,Two Wheeler,Married,0,1
27,Female,Graduate,Student,None,None,257904,45693,Family,Two Wheeler,Married,1,1
28,Female,Graduate,Salaried,None,Junior,307693,32971,Family,None,Single,2,1
27,Male,Under Graduate,Salaried,Tier 3,Mid-level 1,94356,12411,Family,None,Single,1,1
28,Male,Under Graduate,Student,None,None,312622,32575,Rented,None,Married,0,1
28,Male,Under Graduate,Business,None,None,252165,45545,Rented,None,Single,0,1
24,Male,Graduate,Salaried,Tier 3,Mid-level 1,326293,2089,Family,None,Married,0,1
22,Male,Other,Salaried,Tier 3,Mid-level 1,336088,2987,Family,None,Married,1,1
21,Male,Graduate,Professional,None,None,206888,19514,Rented,None,Married,0,1
28,Male,Under Graduate,Salaried,Tier 3,Junior,384737,9781,Rented,None,Married,1,1
20,Male,Under Graduate,Salaried,None,Junior,391511,8649,Rented,Two Wheeler,Married,1,1
24,Male,Under Graduate,Business,None,None,180970,4728,Family,None,Single,1,1
25,Male,Under Graduate,Business,None,None,433990,7821,Rented,None,Single,0,1
22,Male,Graduate,Salaried,None,Junior,305290,8341,Family,None,Married,1,1
20,Male,Post Graduate,Student,None,None,466840,1717,Family,Two Wheeler,Single,1,1
21,Male,Under Graduate,Salaried,Tier 3,Entry,182201,44915,Rented,None,Married,0,1
27,Male,Under Graduate,Salaried,None,Junior,62276,1051,Rented,None,Married,0,1
28,Male,Post Graduate,Salaried,Tier 3,Entry,486893,12399,Rented,None,Married,1,1
20,Male,Under Graduate,Salaried,None,Entry,194210,16349,Rented,None,Other,1,1
28,Female,Graduate,Student,None,None,348442,15611,Family,None,Single,1,1
22,Male,Other,Professional,None,None,218815,13025,Rented,Two Wheeler,Single,0,1
24,Male,Post Graduate,Business,None,None,319112,35267,Family,None,Single,1,1
26,Male,Graduate,Salaried,None,Junior,480084,11148,Rented,None,Single,2,1
27,Female,Under Graduate,Student,None,None,91560,5016,Family,None,Single,1,1
19,Male,Other,Business,None,None,464009,11697,Rented,None,Married,2,1
21,Male,Under Graduate,Professional,None,None,686821,25984,Rented,Two Wheeler,Other,0,1
24,Male,Graduate,Salaried,Tier 2,Junior,203726,5620,Rented,None,Married,2,1
18,Male,Other,Business,None,None,83222,22519,Family,Two Wheeler,Married,1,1
20,Male,Other,Salaried,None,Junior,164672,18039,Rented,Two Wheeler,Single,0,1
23,Male,Other,Student,None,None,199570,33441,Family,None,Single,1,1
26,Male,Under Graduate,Professional,None,None,207974,25175,Rented,None,Married,0,1
28,Male,Graduate,Salaried,Tier 3,Junior,364344,18458,Family,None,Single,1,1
24,Female,Post Graduate,Salaried,None,Mid-level 1,358684,34363,Rented,None,Other,1,1
21,Female,Under Graduate,Business,None,None,141740,43745,Family,None,Single,1,1
22,Male,Graduate,Salaried,Tier 3,Mid-level 1,132083,41930,Family,None,Single,1,1
22,Male,Post Graduate,Business,None,None,131969,13535,Family,Two Wheeler,Married,0,1
29,Male,Graduate,Student,None,None,50767,19189,Rented,None,Married,0,1
21,Male,Graduate,Professional,None,None,242409,2049,Family,None,Single,0,1
24,Male,Graduate,Salaried,None,Junior,360737,14749,Rented,Two Wheeler,Single,1,1
27,Male,Under Graduate,Salaried,None,Entry,65855,4311,Family,None,Single,1,1
28,Male,Post Graduate,Salaried,Tier 3,Entry,238555,11201,Family,Two Wheeler,Married,0,1
18,Male,Under Graduate,Salaried,None,Mid-level 1,248175,44317,Family,None,Single,1,1
23,Male,Graduate,Business,None,None,247796,37174,Rented,Two Wheeler,Single,2,1
24,Male,Other,Student,None,None,152720,23613,Rented,None,Single,1,1
28,Male,Other,Salaried,None,Junior,213995,44310,Rented,None,Single,1,1
22,Male,Graduate,Salaried,None,Junior,257615,6627,Rented,None,Single,2,1
27,Male,Graduate,Professional,None,None,497544,23118,Family,None,Married,0,1
19,Male,Under Graduate,Business,None,None,116237,20602,Rented,None,Single,0,1
29,Male,Under Graduate,Salaried,None,Junior,87632,24738,Rented,None,Single,0,1
29,Male,Graduate,Business,None,None,370767,24404,Rented,Two Wheeler,Single,1,1
21,Female,Under Graduate,Salaried,None,Junior,186443,10141,Rented,None,Single,0,1
30,Male,Graduate,Salaried,Tier 3,Entry,119088,1146,Family,Two Wheeler,Single,1,1
28,Male,Other,Student,None,None,437088,44189,Rented,None,Single,0,1
26,Male,Post Graduate,Salaried,None,Entry,233664,19045,Rented,None,Single,2,1
24,Female,Graduate,Business,None,None,257462,2808,Rented,None,Married,0,1
29,Male,Graduate,Business,None,None,158361,35139,Rented,None,Single,1,1
28,Male,Under Graduate,Salaried,None,Junior,257263,1145,Family,None,Single,1,1
25,Male,Under Graduate,Salaried,None,Entry,235027,24080,Rented,None,Single,1,1
27,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,405511,19367,Rented,None,Married,0,1
20,Male,Under Graduate,Professional,None,None,198270,21777,Rented,None,Married,2,1
23,Male,Under Graduate,Professional,None,None,316780,14550,Family,None,Single,1,1
21,Male,Under Graduate,Professional,None,None,107183,18077,Family,None,Single,0,1
26,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,63795,39203,Family,Two Wheeler,Single,1,1
25,Male,Other,Salaried,None,Junior,121668,5467,Rented,Two Wheeler,Married,0,1
21,Male,Under Graduate,Salaried,None,Mid-level 1,260070,26008,Rented,Two Wheeler,Single,1,1
26,Male,Post Graduate,Professional,None,None,414676,13723,Rented,Two Wheeler,Married,2,1
26,Male,Graduate,Student,None,None,73186,12383,Family,None,Married,1,1
25,Male,Post Graduate,Salaried,Tier 3,Junior,380731,4003,Rented,Two Wheeler,Married,1,1
21,Male,Post Graduate,Salaried,None,Entry,632183,41776,Family,Two Wheeler,Married,0,1
18,Female,Post Graduate,Business,None,None,254646,29139,Family,None,Married,1,1
20,Male,Post Graduate,Business,None,None,214231,8277,Rented,None,Single,0,1
25,Male,Post Graduate,Salaried,Tier 3,Junior,411345,9426,Rented,None,Single,1,1
23,Male,Under Graduate,Salaried,None,Entry,166447,14386,Rented,None,Married,1,1
21,Male,Under Graduate,Student,None,None,436491,21972,Family,None,Married,0,1
21,Male,Post Graduate,Salaried,None,Entry,426132,45955,Family,None,Single,0,1
19,Male,Graduate,Salaried,None,Mid-level 1,383437,20576,Family,Two Wheeler,Married,0,1
22,Male,Graduate,Salaried,None,Junior,572089,42602,Rented,Two Wheeler,Single,2,1
27,Male,Post Graduate,Salaried,None,Junior,261051,12849,Family,None,Single,0,1
24,Male,Graduate,Salaried,Tier 3,Entry,479789,14129,Rented,None,Single,0,1
18,Female,Under Graduate,Business,None,None,408000,18610,Family,None,Single,0,1
19,Male,Post Graduate,Salaried,None,Mid-level 1,295412,1430,Rented,None,Married,0,1
29,Male,Under Graduate,Professional,None,None,230663,32396,Family,None,Married,1,1
28,Male,Under Graduate,Business,None,None,115326,9652,Rented,None,Married,1,1
25,Male,Under Graduate,Salaried,None,Junior,825739,44773,Rented,None,Single,0,1
24,Male,Post Graduate,Student,None,None,171508,8727,Rented,None,Married,2,1
18,Male,Other,Salaried,None,Junior,378996,1024,Family,Two Wheeler,Married,1,1
28,Male,Under Graduate,Student,None,None,390972,2020,Family,Two Wheeler,Married,1,1
27,Male,Under Graduate,Business,None,None,224895,42674,Rented,Two Wheeler,Married,0,1
21,Male,Other,Student,None,None,53412,7531,Rented,None,Married,0,1
22,Male,Post Graduate,Professional,None,None,230976,9775,Rented,None,Single,0,1
25,Male,Graduate,Student,None,None,372893,14535,Family,None,Married,0,1
20,Male,Other,Salaried,Tier 3,Junior,388076,3531,Rented,None,Single,0,1
24,Male,Other,Salaried,Tier 3,Mid-level 1,60622,4949,Family,None,Married,0,1
29,Male,Post Graduate,Student,None,None,251969,7726,Rented,Two Wheeler,Married,0,1
24,Male,Under Graduate,Salaried,Tier 2,Entry,371885,3451,Rented,None,Single,0,1
19,Female,Graduate,Salaried,None,Mid-level 1,467524,22557,Rented,Two Wheeler,Single,1,1
25,Female,Post Graduate,Salaried,Tier 3,Entry,375633,16382,Family,Two Wheeler,Married,0,1
26,Male,Under Graduate,Business,None,None,470396,21766,Family,None,Single,0,1
20,Male,Graduate,Salaried,None,Mid-level 1,228561,45815,Family,None,Single,1,1
22,Male,Under Graduate,Business,None,None,349512,4154,Family,Two Wheeler,Married,0,1
26,Male,Other,Salaried,None,Entry,136756,44313,Rented,Two Wheeler,Single,0,1
21,Male,Other,Salaried,Tier 3,Entry,482473,4830,Rented,Two Wheeler,Married,0,1
18,Male,Other,Business,None,None,200176,3489,Family,None,Single,0,1
28,Male,Graduate,Salaried,Tier 3,Mid-level 1,369917,22477,Family,None,Married,1,1
25,Male,Post Graduate,Professional,None,None,333041,11861,Rented,Two Wheeler,Married,0,1
24,Male,Post Graduate,Business,None,None,444947,12291,Family,None,Married,1,1
